date,r_btc,r_btc_lag,log_volume_btc,google_trends,r_sp500,vix,r_dxy,r_gold,d_yield_10y,epu
2017-11-05,0.1840145785642797,0.02714009486306213,13.73112844869164,28,0.0025924292411865293,9.99,0.00021068155560918997,-0.002046439124266832,-0.08000000000000007,159.9080579
2017-11-12,-0.22882649323116094,0.1840145785642797,14.026808222994745,32,-0.002127619223909245,10.172,-0.005809977786318887,0.003931749973347284,0.06000000000000005,159.9080579
2017-11-19,0.3135188335570832,-0.22882649323116094,13.592679457832109,27,-0.0013563002214781877,11.882,-0.007763931581457342,0.017349795296331218,-0.04999999999999982,159.9080579
2017-11-26,0.14723852614170782,0.3135188335570832,13.250809361228965,62,0.009109921722676525,9.9825,-0.009440104431798017,-0.007121324313130382,-0.010000000000000231,159.9080579
2017-12-03,0.18803935367276817,0.14723852614170782,13.770387661142314,91,0.01517780728511193,10.661999999999999,0.0011848980758319167,-0.0038916612005186185,0.03000000000000025,148.1669962
2017-12-10,0.2919853677811579,0.18803935367276817,14.10960453018141,83,0.003513614132930984,10.754,0.010814388814787872,-0.026792609068445692,0.009999999999999787,148.1669962
2017-12-17,0.23587524753764377,0.2919853677811579,13.75271984185856,100,0.00912288346233441,9.870000000000001,0.00031943779220687795,0.007262891577269814,-0.029999999999999805,148.1669962
2017-12-24,-0.3239472173264799,0.23587524753764377,14.237360695321762,63,0.0027989792675738013,9.76,-0.006193954018692489,0.01679651521179212,0.1299999999999999,148.1669962
2017-12-31,0.00437042127751889,-0.3239472173264799,13.787028775528624,47,-0.003621501465963571,10.485,-0.013263795035247048,0.02357050504802132,-0.08000000000000007,148.1669962
2018-01-07,0.15843635656314592,0.00437042127751889,13.512471163191451,75,0.025699243307581214,9.34,-0.0018471239021543536,0.009880001329069571,0.07000000000000028,177.714033
2018-01-14,-0.1697050631674436,0.15843635656314592,13.455057055685458,100,0.015553538123414007,9.892,-0.010715169216359706,0.009483738098909612,0.07999999999999963,177.714033
2018-01-21,-0.16648006021519915,-0.1697050631674436,14.231730953389258,66,0.008612578922892989,11.765,-0.004406749447113442,-0.0013493255420555365,0.0900000000000003,177.714033
2018-01-28,0.017118844729181962,-0.16648006021519915,14.0623706358958,71,0.022030733356363554,11.251999999999999,-0.016700454943079014,0.014151882245080918,0.020000000000000018,177.714033
2018-02-04,-0.3608463778308191,0.017118844729181962,14.517647211862018,82,-0.03933071258947115,14.589999999999998,0.0013463482343378822,-0.011006283485961384,0.17999999999999972,125.9920045
2018-02-11,-0.017210819756818634,-0.3608463778308191,14.899401686784323,49,-0.052969625618011364,31.51,0.013917721731653064,-0.016283812506958303,-0.009999999999999787,125.9920045
2018-02-18,0.25206342146984867,-0.017210819756818634,14.34190042800107,43,0.04208551110948831,21.686,-0.014927312933005548,0.0303178278779492,0.040000000000000036,125.9920045
2018-02-25,-0.08147017265834927,0.25206342146984867,14.421835434568248,35,0.005511465726228488,18.9575,0.008716112840364778,-0.019282190559881784,0.009999999999999787,125.9920045
2018-03-04,0.1748394351771427,-0.08147017265834927,14.132363007715835,32,-0.020631420400986394,19.259999999999998,0.0006673340254329241,-0.005200298111900881,-0.020000000000000018,181.6901391
2018-03-11,-0.18065693332592078,0.1748394351771427,14.386682176498494,34,0.034835023900862516,17.206,0.001666389320787263,0.0004532749189944098,0.040000000000000036,181.6901391
2018-03-18,-0.15012225904074336,-0.18065693332592078,14.468642709985984,31,-0.012494294626257015,16.35,0.00155279534306082,-0.008876134594712532,-0.04999999999999982,181.6901391
2018-03-25,0.032627756301409704,-0.15012225904074336,14.252900598856812,31,-0.06132663052154691,20.657999999999998,-0.008346829384480503,0.028249192712540533,-0.03000000000000025,181.6901391
2018-04-01,-0.21628659665719172,0.032627756301409704,14.460795393797179,31,0.020118478603282704,21.5925,0.005461144807098583,-0.016883711982624845,-0.07999999999999963,165.0225491
2018-04-08,0.029636182377760764,-0.21628659665719172,14.1345677433313,28,-0.013879049949723981,21.042,0.0015548648179184621,0.006608118962691814,0.029999999999999805,165.0225491
2018-04-15,0.17363112936639763,0.029636182377760764,14.245804854701731,25,0.019693458839732208,19.676,-0.0034461709387920755,0.008792903149375662,0.04999999999999982,165.0225491
2018-04-22,0.051623839015130464,0.17363112936639763,14.056486168829768,25,0.005181747851484497,16.05,0.005773944533252689,-0.007147673941895321,0.14000000000000012,165.0225491
2018-04-29,0.06680198797135939,0.051623839015130464,14.299047201492593,23,-7.490636707615179e-05,16.77,0.013417115384089627,-0.011195969224369542,0.0,165.0225491
2018-05-06,0.025306124556329516,0.06680198797135939,13.946354592875519,22,-0.002437516441342045,15.612,0.011189079853623727,-0.006595679875400562,-0.009999999999999787,171.499325
2018-05-13,-0.105045287972243,0.025306124556329516,14.04218387232873,20,0.02385526117360321,13.752,-0.0003241316002661836,0.0045533963472000885,0.020000000000000018,171.499325
2018-05-20,-0.019103498648734996,-0.105045287972243,13.916287585470508,20,-0.005403729582716083,13.565999999999999,0.011816659143856349,-0.022512436197152815,0.08999999999999986,171.499325
2018-05-27,-0.1465022766047345,-0.019103498648734996,13.883094437287806,19,0.0030546736300763586,12.925999999999998,0.005856376212015609,0.009556912816127144,-0.1299999999999999,171.499325
2018-06-03,0.048048457492369454,-0.1465022766047345,13.813438412553095,17,0.004875465585972985,15.2125,0.0,-0.0033807177800424335,-0.040000000000000036,164.9175271
2018-06-10,-0.13176417542017127,0.048048457492369454,13.842181699779088,21,0.01610597786752236,12.218,-0.006817966114627183,0.002613375814827713,0.040000000000000036,164.9175271
2018-06-17,-0.047578370459728854,-0.13176417542017127,13.942275358755772,18,0.00025185745001535264,12.346,0.013167865744851723,-0.01875151797227705,0.0,164.9175271
2018-06-24,-0.04847598663487463,-0.047578370459728854,13.945424164284619,19,-0.008961863904932726,13.372,-0.0028524661462432876,-0.006119586020752568,-0.03000000000000025,164.9175271
2018-07-01,0.03389721886372962,-0.04847598663487463,13.999181204327524,17,-0.013337672369918677,16.82,0.001268767351424398,-0.012830842904011737,-0.04999999999999982,227.491186
2018-07-08,0.05321705689255963,0.03389721886372962,13.958909357211766,16,0.015114741399786517,15.02,-0.006359995998262545,0.0010357328735321183,-0.03000000000000025,227.491186
2018-07-15,-0.053829797196262255,0.05321705689255963,14.400743966078675,20,0.014925381812863715,12.744,0.007521620290666915,-0.011694166105783853,0.010000000000000231,227.491186
2018-07-22,0.1526565342397254,-0.053829797196262255,14.43297468041979,21,0.00017847263169572022,12.544,-0.003171250015017193,-0.008170574920655961,0.06000000000000005,227.491186
2018-07-29,0.10289400343977158,0.1526565342397254,14.326985970571762,18,0.006049194690853903,12.498,0.0023265661932812525,-0.006601221966396897,0.06999999999999984,227.491186
2018-08-05,-0.15626068301658846,0.10289400343977158,14.279150230123511,19,0.007598417926344016,12.813999999999998,0.00495233086333552,0.00016351892768018528,-0.009999999999999787,172.1664648
2018-08-12,-0.10716310354727965,-0.15626068301658846,14.353780127880098,18,-0.0024675703440002693,11.495999999999999,0.012741686742535192,-0.0034395251335810296,-0.08000000000000007,172.1664648
2018-08-19,0.026340965672471836,-0.10716310354727965,16.82090054530581,17,0.005911971331223674,13.764,-0.0027018617704238556,-0.028963409383595713,0.0,172.1664648
2018-08-26,0.03504928949144252,0.026340965672471836,16.88866672848307,17,0.008594239594315838,12.4,-0.009934722234088244,0.024276478960151403,-0.050000000000000266,172.1664648
2018-09-02,0.0830371278445572,0.03504928949144252,17.093786726113922,20,0.009279523669912259,12.66,-0.00010510273802318111,-0.005454558978272204,0.040000000000000036,193.3219563
2018-09-09,-0.15629861352502122,0.0830371278445572,17.072067449800162,17,-0.010323655743054756,14.15,0.0023097123129042106,-0.0052345265133430345,0.08000000000000007,193.3219563
2018-09-16,0.041093176790058576,-0.15629861352502122,16.936994036823826,16,0.011529201398403507,12.992,-0.004519425423332479,0.0005829689942323509,0.050000000000000266,193.3219563
2018-09-23,0.030886333877315344,0.041093176790058576,17.431281540257572,15,0.008466638404483473,12.34,-0.007507304621812197,0.00016650016688485019,0.07999999999999963,193.3219563
2018-09-30,-0.010330469026333226,0.030886333877315344,17.92998449148154,13,-0.0053733209353449204,12.408,0.009611903946470563,-0.004254438116872721,-0.020000000000000018,193.3219563
2018-10-07,-0.0036538821585386785,-0.010330469026333226,17.834539804101585,14,-0.009793857165820936,12.940000000000001,0.0051376259795918346,0.00782750270182903,0.18000000000000016,213.5853499
2018-10-14,-0.043940349244244385,-0.0036538821585386785,13.697751272025863,14,-0.041933010231376106,20.178,-0.004191999431584684,0.013511492419254947,-0.08000000000000007,213.5853499
