Year;Month;GEPU_current;GEPU_ppp
2017;3;236,0218168;246,4132433
2017;4;176,4000371;175,7483549
2017;5;144,0981127;141,108383
2017;6;171,7162706;173,1601119
2017;7;164,959101;169,3940975
2017;8;140,6259307;140,4061625
2017;9;157,6540748;161,1373268
2017;10;144,5092377;148,4371288
2017;11;159,9080579;165,6133809
2017;12;148,1669962;153,4196525
2018;1;177,714033;177,0375604
2018;2;125,9920045;128,6703239
2018;3;181,6901391;178,4530035
2018;4;165,0225491;170,6900899
2018;5;171,499325;170,2781483
2018;6;164,9175271;161,66124
2018;7;227,491186;233,4648589
2018;8;172,1664648;179,2019742
2018;9;193,3219563;202,4367794
2018;10;213,5853499;222,1465398
2018;11;247,1332789;260,260323
2018;12;220,3905672;215,5648434
2019;1;243,9905468;240,5242539
2019;2;173,7976955;175,6227191
2019;3;240,8760736;247,725514
2019;4;191,2838485;201,6295838
2019;5;223,5479139;234,3078072
2019;6;320,4310665;342,2914178
2019;7;249,3960505;255,8494199
2019;8;290,6558587;288,7119942
2019;9;237,3755573;246,9136997
2019;10;202,2540357;206,7412145
2019;11;242,6026066;254,5405485
2019;12;232,0985303;241,2865805
2020;1;191,7217915;196,3321175
2020;2;196,4932569;195,5943394
2020;3;318,4648591;309,280027
2020;4;328,1326391;330,9455147
2020;5;415,7433513;418,148409
2020;6;309,5923035;319,7302476
2020;7;313,1465901;304,3794526
2020;8;289,3559292;298,7593161
2020;9;309,334464;321,6726175
2020;10;306,5552709;308,8275279
2020;11;397,3794527;413,0268278
2020;12;302,4802669;309,4721506
2021;1;271,7565365;278,1276532
2021;2;195,1068145;197,4421939
2021;3;212,0486895;217,3432453
2021;4;193,9223277;201,927311
2021;5;173,1251529;176,6224533
2021;6;170,9733785;178,2599901
2021;7;189,0786546;187,3705403
2021;8;201,281625;205,7920384
2021;9;211,9478693;216,0359169
2021;10;187,2398434;191,6718364
2021;11;229,3218799;230,3837823
2021;12;258,4092835;262,1064307
2022;1;221,7036666;228,7356125
2022;2;175,822588;183,6057727
2022;3;298,188365;301,131488
2022;4;269,5029595;283,8781364
2022;5;275,8742105;285,0584567
2022;6;248,0193549;260,4604868
2022;7;292,8063295;299,8935277
2022;8;235,8315512;237,9736347
2022;9;248,8549051;250,2901687
2022;10;265,082456;265,1142171
2022;11;311,3488667;321,1608838
2022;12;239,8542887;251,2434826
2023;1;217,1991793;225,2665653
2023;2;242,1408329;258,795996
2023;3;313,6530364;332,4381521
2023;4;255,3793501;279,1467165
2023;5;211,346131;210,26863
2023;6;221,4584671;233,8880561
2023;7;191,7312619;199,4297538
2023;8;175,5051547;185,1914309
2023;9;200,6384782;209,203135
2023;10;190,4438086;196,6001893
2023;11;207,9721039;217,6053796
2023;12;223,0236998;245,1914869
2024;1;239,6974681;257,709307
2024;2;167,97191;179,2567292
2024;3;179,4834398;186,4398425
2024;4;171,2627344;175,2480332
2024;5;184,1644205;187,8818623
2024;6;173,4343794;173,3483185
2024;7;229,0116409;240,1429876
2024;8;191,1185203;198,4387514
2024;9;202,1776237;207,6940195
2024;10;204,9284191;211,2685234
2024;11;282,5926597;278,0729457
2024;12;327,5750371;331,6220488
2025;1;309,1073682;305,4691909
2025;2;327,7075662;316,4400432
2025;3;468,8427969;453,5588276
2025;4;623,3520454;578,5987938
2025;5;511,6903036;478,0368721
2025;6;368,5934567;354,568117
2025;7;406,8875698;388,6548276
2025;8;343,3390597;325,91193
2025;9;308,478231;294,0360348
2025;10;404,8730525;413,5165988
2025;11;371,0953517;373,2841601
;;;
Citation: Davis, Steven J., 2016. “An Index of Global Economic Policy Uncertainty,” Macroeconomic Review, October.;;;
